"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","ATT","YDS","TDS","TGT","REC","YDS","TDS"
"1",1,"Christian McCaffrey",SF,"357.8","272","1459","14","83","67","564","7"
"2",1,"Breece Hall",NYJ,"252.5","223","994","5","95","76","591","4"
"3",1,"Bijan Robinson",ATL,"217.3","214","976","4","86","58","487","4"
"4",2,"Jonathan Taylor",IND,"146.9","169","741","7","23","19","153","1"
"5",2,"Jahmyr Gibbs",DET,"216.1","182","945","10","71","52","316","1"
"6",2,"Saquon Barkley",PHI,"202.7","247","962","6","60","41","280","4"
"7",2,"Derrick Henry",BAL,"232.7","280","1167","12","36","28","214","0"
"8",2,"Travis Etienne Jr.",JAC,"253.4","267","1008","11","73","58","476","1"
"9",3,"Kyren Williams",LAR,"239","228","1144","12","48","32","206","3"
"10",3,"Isiah Pacheco",KC,"191.9","205","935","7","49","44","244","2"
"11",3,"De'Von Achane",MIA,"177.2","103","800","8","37","27","197","3"
"12",3,"Josh Jacobs",GB,"162.6","233","805","6","54","37","296","0"
"13",3,"James Cook",BUF,"210.7","237","1122","2","54","44","445","4"
"14",3,"Kenneth Walker III",SEA,"184.9","219","905","8","37","29","259","1"
"15",3,"Rachaad White",TB,"235.9","272","990","6","70","64","549","3"
"16",3,"Joe Mixon",HOU,"241","257","1034","9","64","52","376","3"
"17",3,"Alvin Kamara",NO,"195.5","180","694","5","86","75","466","1"
"18",4,"James Conner",ARI,"188","208","1040","7","33","27","165","2"
"19",4,"David Montgomery",DET,"199.2","219","1015","13","24","16","117","0"
"20",4,"Aaron Jones",MIN,"119.9","142","656","2","43","30","233","1"
"21",4,"Rhamondre Stevenson",NE,"126.7","156","619","4","51","38","238","0"
"22",4,"Najee Harris",PIT,"181","255","1035","8","38","29","170","0"
"23",4,"Raheem Mostert",MIA,"255.2","209","1012","18","32","25","175","3"
"24",4,"D'Andre Swift",CHI,"179.8","229","1049","5","49","39","214","1"
"25",4,"Javonte Williams",DEN,"155.7","217","774","3","58","47","228","2"
"26",4,"Zamir White",LV,"66.4","104","451","1","19","15","98","0"
"27",4,"Tony Pollard",TEN,"195.1","252","1005","6","67","55","311","0"
"28",5,"Brian Robinson Jr.",WAS,"180.1","178","733","5","43","36","368","4"
"29",5,"Devin Singletary",NYG,"152.3","216","898","4","38","30","193","0"
"30",5,"Jaylen Warren",PIT,"165.9","149","784","4","74","61","370","0"
"31",5,"Tyjae Spears",TEN,"127.8","100","453","2","70","52","385","1"
"32",5,"Zack Moss",CIN,"156.1","183","794","5","37","27","192","2"
"33",5,"Chase Brown",CIN,"46.5","44","179","0","15","14","156","1"
"34",5,"Jerome Ford",CLE,"189.2","204","813","4","63","44","319","5"
"35",5,"Jonathon Brooks",CAR,"0","0","0","0","0","0","0","0"
"36",5,"Austin Ekeler",WAS,"159.9","179","628","5","74","51","436","1"
"37",5,"Gus Edwards",LAC,"181","198","810","13","13","12","180","0"
"38",6,"Blake Corum",LAR,"0","0","0","0","0","0","0","0"
"39",6,"Ezekiel Elliott",DAL,"149","184","642","3","65","51","313","2"
"40",6,"Nick Chubb",CLE,"21.1","28","170","0","4","4","21","0"
"41",6,"Chuba Hubbard",CAR,"163","238","902","5","44","39","233","0"
"42",6,"Zach Charbonnet",SEA,"89.6","108","462","1","40","33","209","0"
"43",6,"Rico Dowdle",DAL,"83","89","361","2","22","17","144","2"
"44",6,"Trey Benson",ARI,"0","0","0","0","0","0","0","0"
"45",6,"Jaleel McLaughlin",DEN,"90.5","76","410","1","36","31","160","2"
"46",6,"J.K. Dobbins",LAC,"10.7","8","22","1","3","2","15","0"
"47",6,"Ty Chandler",MIN,"90.5","102","461","3","25","21","159","0"
"48",6,"Tyler Allgeier",ATL,"128.6","186","683","4","23","18","193","1"
"49",6,"Antonio Gibson",NE,"103.4","65","265","1","59","48","389","2"
"50",6,"MarShawn Lloyd",GB,"0","0","0","0","0","0","0","0"
"51",6,"Ray Davis",BUF,"0","0","0","0","0","0","0","0"
"52",6,"Jaylen Wright",MIA,"0","0","0","0","0","0","0","0"
"53",6,"Khalil Herbert",CHI,"102.5","132","611","2","31","20","134","1"
"54",6,"Bucky Irving",TB,"0","0","0","0","0","0","0","0"
"55",7,"Braelon Allen",NYJ,"0","0","0","0","0","0","0","0"
"56",7,"Jordan Mason",SF,"43.2","40","206","3","4","3","31","0"
"57",7,"Roschon Johnson",CHI,"85.1","81","352","2","40","34","209","0"
"58",7,"Tank Bigsby",JAC,"22.3","50","132","2","4","1","6","0"
"59",7,"Audric Estime",DEN,"0","0","0","0","0","0","0","0"
"60",7,"Alexander Mattison",LV,"118.2","180","700","0","44","30","192","3"
"61",7,"Kimani Vidal",LAC,"0","0","0","0","0","0","0","0"
"62",7,"Tyrone Tracy Jr.",NYG,"0","0","0","0","0","0","0","0"
"63",7,"Justice Hill",BAL,"95.3","84","387","3","39","28","206","1"
"64",7,"Kendre Miller",NO,"38.3","41","156","1","11","10","117","0"
"65",7,"Kenneth Gainwell",PHI,"82.4","84","364","2","37","30","183","0"
"66",7,"Dameon Pierce",HOU,"76.2","145","416","2","17","13","101","0"
"67",7,"Jamaal Williams",NO,"51.8","106","306","1","20","18","62","0"
"68",7,"Will Shipley",PHI,"0","0","0","0","0","0","0","0"
"69",7,"Trey Sermon",IND,"18.8","35","160","0","6","3","13","0"
"70",7,"Clyde Edwards-Helaire",KC,"61.6","70","223","1","22","17","188","1"
"71",7,"Miles Sanders",CAR,"74.1","129","432","1","41","27","154","0"
"72",7,"Samaje Perine",KC,"96.3","53","238","1","56","50","455","0"
"73",7,"Dylan Laube",LV,"0","0","0","0","0","0","0","0"
"74",7,"Keaton Mitchell",BAL,"65.4","47","396","2","11","9","93","0"
"75",8,"Cordarrelle Patterson",PIT,"32.4","50","181","0","12","9","38","1"
"76",8,"Eric Gray",NYG,"10","17","48","0","7","6","22","0"
"77",8,"Cam Akers",HOU,"41.2","60","167","2","12","11","70","0"
"78",8,"D'Onta Foreman",CLE,"85.7","109","425","4","16","11","77","1"
"79",8,"Pierre Strong Jr.",CLE,"40.3","63","291","1","8","5","47","0"
"80",8,"Deuce Vaughn",DAL,"11.5","23","40","0","7","7","40","0"
"81",8,"D'Ernest Johnson",JAC,"29.8","41","108","0","12","10","140","0"
"82",8,"Isaac Guerendo",SF,"0","0","0","0","0","0","0","0"
"83",8,"Emari Demercado",ARI,"62.8","58","284","2","30","21","119","0"
"84",8,"Israel Abanikanda",NYJ,"12.8","22","70","0","11","7","43","0"
"85",8,"Jeff Wilson Jr.",MIA,"34.3","41","188","0","17","14","85","0"
"86",8,"Ronnie Rivers",LAR,"17.6","32","129","0","5","5","22","0"
"87",8,"Dalvin Cook",DAL,"32.7","67","214","0","20","15","78","0"
"88",8,"Evan Hull",IND,"1.2","1","1","0","1","1","6","0"
"89",8,"Chris Rodriguez Jr.",WAS,"36.9","51","247","2","2","2","12","0"
"90",8,"Michael Carter",ARI,"46.8","30","187","0","31","24","101","1"
"91",8,"Carson Steele",KC,"0","0","0","0","0","0","0","0"
"92",8,"Rasheen Ali",BAL,"0","0","0","0","0","0","0","0"
"93",9,"Ty Johnson",BUF,"28.9","30","132","0","7","7","62","1"
"94",9,"Emanuel Wilson",GB,"12.8","14","85","0","5","4","23","0"
"95",9,"Isaiah Spiller",FA,"16","37","96","0","6","6","34","0"
"96",9,"Kareem Hunt",FA,"111","135","411","9","21","15","84","0"
"97",9,"Deneric Prince",MIA,"0","0","0","0","0","0","0","0"
"98",9,"Jerick McKinnon",FA,"71.9","21","60","1","32","25","192","4"
"99",9,"Salvon Ahmed",FA,"34.9","22","61","1","23","16","88","1"
"100",9,"Craig Reynolds",DET,"27.1","41","179","1","5","5","47","0"
"101",9,"Royce Freeman",FA,"45.7","77","319","2","2","1","13","0"
"102",9,"Isaiah Davis",NYJ,"0","0","0","0","0","0","0","0"
"103",9,"Jaret Patterson",LAC,"0","0","0","0","0","0","0","0"
"104",9,"Sean Tucker",TB,"4.2","15","23","0","2","2","9","0"
"105",9,"Nyheim Hines",CLE,"0","0","0","0","0","0","0","0"
"106",9,"Sione Vaki",DET,"0","0","0","0","0","0","0","0"
"107",9,"Joshua Kelley",FA,"57.7","107","405","2","12","8","32","0"
"108",9,"Kenny McIntosh",SEA,"0","0","0","0","0","0","0","0"
"109",9,"Ameer Abdullah",LV,"31.5","15","89","0","24","19","131","0"
"110",9,"Blake Watson",DEN,"0","0","0","0","0","0","0","0"
"111",9,"Jase McClellan",ATL,"0","0","0","0","0","0","0","0"
"112",9,"Kyle Juszczyk",SF,"31.5","5","6","0","17","14","119","2"
"113",9,"Trayveon Williams",CIN,"11.4","15","69","0","9","7","10","0"
"114",9,"Matt Breida",FA,"38.4","55","151","1","21","17","88","0"
"115",10,"Tyler Goodson",IND,"15.1","13","87","0","9","6","34","0"
"116",10,"Keaontay Ingram",KC,"12","35","74","0","4","4","26","0"
"117",10,"Jawhar Jordan",HOU,"0","0","0","0","0","0","0","0"
"118",10,"Raheem Blackshear",CAR,"14.1","14","46","0","7","6","45","0"
"119",10,"Kevin Harris",NE,"19.8","16","65","1","3","3","58","0"
"120",10,"JaMycal Hasty",NE,"0","0","0","0","2","0","0","0"
"121",10,"Alec Ingold",MIA,"18.4","2","0","0","16","13","119","0"
"122",10,"Dare Ogunbowale",HOU,"9.3","8","35","0","7","2","18","0"
"123",10,"Patrick Ricard",BAL,"13.7","0","0","0","7","5","52","1"
"124",10,"DeeJay Dallas",ARI,"5.2","10","36","0","9","6","26","0"
"125",10,"Keilan Robinson",JAC,"0","0","0","0","0","0","0","0"
"126",10,"Avery Williams",ATL,"0","0","0","0","0","0","0","0"
"127",10,"Latavius Murray",FA,"74.4","79","300","4","22","17","119","0"
"128",10,"Jeremy McNichols",WAS,"0","0","0","0","0","0","0","0"
"129",10,"Julius Chestnut",TEN,"0","0","0","0","0","0","0","0"
"130",10,"Malik Davis",DAL,"0","0","0","0","0","0","0","0"
"131",10,"Frank Gore Jr.",BUF,"0","0","0","0","0","0","0","0"
"132",10,"Kene Nwangwu",FA,"1.3","5","13","0","0","0","0","0"
"133",10,"Cody Schrader",LAR,"0","0","0","0","0","0","0","0"
"134",10,"Boston Scott",PIT,"13.8","20","86","0","6","4","52","0"
"135",10,"Patrick Taylor Jr.",SF,"24.5","32","141","0","17","11","49","0"
"136",10,"C.J. Ham",MIN,"6.7","1","7","0","9","7","25","0"
"137",10,"Hassan Haskins",LAC,"0","0","0","0","0","0","0","0"
"138",10,"Jordan Mims",NO,"0","0","0","0","2","0","0","0"
"139",10,"Leonard Fournette",FA,"4","12","40","0","0","0","0","0"
"140",10,"Darrynton Evans",BUF,"26.5","32","121","1","12","7","49","0"
"141",10,"Hunter Luepke",DAL,"11.2","6","19","1","4","3","18","0"
"142",11,"Myles Gaskin",MIN,"0","0","0","0","0","0","0","0"
"143",11,"Zach Evans",FA,"1.9","9","19","0","0","0","0","0"
"144",11,"Dillon Johnson",FA,"0","0","0","0","0","0","0","0"
"145",11,"Emani Bailey",KC,"0","0","0","0","0","0","0","0"
"146",11,"Kendall Milton",CIN,"0","0","0","0","0","0","0","0"
"147",11,"Reggie Gilliam",BUF,"0.8","0","0","0","1","1","3","0"
"148",11,"Travis Homer",CHI,"0","0","0","0","1","0","0","0"
"149",11,"Adam Prentice",NO,"1.4","2","12","0","3","2","12","0"
"150",11,"George Holani",SEA,"0","0","0","0","0","0","0","0"
"151",11,"Owen Wright",BAL,"0","0","0","0","0","0","0","0"
"152",11,"Tyrion Davis-Price",PHI,"2.1","6","21","0","0","0","0","0"
"153",11,"Daijun Edwards",FA,"0","0","0","0","0","0","0","0"
"154",11,"Khari Blasingame",CHI,"4.3","8","26","0","6","3","2","0"
"155",11,"Michael Burton",DEN,"5.2","7","9","0","3","3","8","0"
"156",11,"Louis Rees-Zammit",JAC,"0","0","0","0","0","0","0","0"
"157",11,"Ke'Shawn Vaughn",SF,"5.4","24","42","0","5","2","2","0"
"158",11,"Mike Boone",CAR,"9.8","5","23","0","9","7","40","0"
"159",11,"Chris Brooks",FA,"10.6","19","106","0","0","0","0","0"
"160",11,"Carlos Washington Jr.",ATL,"0","0","0","0","0","0","0","0"
"161",11,"James Robinson",FA,"0.5","1","2","0","1","1","-2","0"
"162",11,"Michael Wiley",WAS,"0","0","0","0","0","0","0","0"
"163",11,"Jonathan Ward",PIT,"1.1","3","11","0","0","0","0","0"
"164",11,"Dante Miller",NYG,"0","0","0","0","0","0","0","0"
"165",11,"Gary Brightwell",CLE,"9.1","9","19","0","7","5","47","0"
"166",11,"Zonovan Knight",FA,"2.6","3","13","0","1","1","8","0"
"167",11,"Demetric Felton Jr.",FA,"0","0","0","0","0","0","0","0"
"168",11,"DeWayne McBride",FA,"0","0","0","0","0","0","0","0"
"169",11,"Tyler Badie",DEN,"0","0","0","0","0","0","0","0"
"170",11,"La'Mical Perine",GB,"12.5","22","77","0","5","3","33","0"
"171",11,"Donovan Edwards",FA,"0","0","0","0","0","0","0","0"
"172",11,"Darrell Henderson Jr.",FA,"38.5","46","112","2","14","10","103","0"
"173",11,"Ronald Jones II",FA,"0","0","0","0","0","0","0","0"
"174",11,"Brandon Bolden",FA,"11.1","4","31","1","0","0","0","0"
"175",11,"Deon Jackson",FA,"1.5","14","16","0","6","5","14","0"
"176",11,"Jermar Jefferson",DET,"0","0","0","0","0","0","0","0"
"177",11,"TreVeyon Henderson",FA,"0","0","0","0","0","0","0","0"
"178",11,"Derrick Gore",FA,"2.6","3","26","0","0","0","0","0"
"179",11,"Jakob Johnson",FA,"1.7","0","0","0","2","1","12","0"
"180",12,"British Brooks",HOU,"0","0","0","0","0","0","0","0"
"181",12,"Tony Jones Jr.",FA,"28.7","26","95","2","10","7","37","0"
"182",12,"Lew Nichols III",FA,"0","0","0","0","0","0","0","0"
"183",12,"Jabari Small",TEN,"0","0","0","0","0","0","0","0"
"184",12,"Snoop Conner",FA,"0","0","0","0","0","0","0","0"
"185",12,"Aaron Shampklin",FA,"0","0","0","0","0","0","0","0"
"186",12,"Jonathan Williams",FA,"-0.2","1","-2","0","1","0","0","0"
"187",12,"Jordan Scarlett",FA,"0","0","0","0","0","0","0","0"
"188",12,"Melvin Gordon III",FA,"18.2","26","81","1","3","3","46","0"
"189",12,"Trestan Ebner",FA,"0","0","0","0","0","0","0","0"
"190",12,"Nick Bawden",FA,"10","2","4","1","3","3","21","0"
"191",12,"Jashaun Corbin",FA,"2.8","1","1","0","3","3","12","0"
"192",12,"Elijah Dotson",FA,"2.9","4","6","0","2","2","13","0"
"193",12,"Patrick Laird",FA,"0","0","0","0","0","0","0","0"
"194",12,"Dontrell Hilliard",FA,"0","0","0","0","0","0","0","0"
"195",12,"Ty Montgomery II",FA,"7.4","3","9","0","12","5","40","0"
"196",12,"Anthony McFarland Jr.",FA,"2.1","0","0","0","2","2","11","0"
"197",12,"Wendell Smallwood",FA,"0","0","0","0","0","0","0","0"
"198",12,"Xazavian Valladay",NYJ,"0","0","0","0","0","0","0","0"
"199",12,"John Kelly Jr.",BAL,"0","0","0","0","0","0","0","0"
"200",12,"Brandon Johnson",FA,"0","0","0","0","0","0","0","0"
"201",12,"Pooka Williams Jr.",FA,"0","0","0","0","0","0","0","0"
"202",12,"Jack Colletto",PIT,"0","0","0","0","0","0","0","0"
"203",12,"Devine Ozigbo",FA,"1.8","3","5","0","1","1","8","0"
"204",12,"James Butler",FA,"0","0","0","0","0","0","0","0"
"205",12,"Raheim Sanders",FA,"0","0","0","0","0","0","0","0"
"206",12,"Kenyan Drake",FA,"2.1","2","0","0","3","2","31","0"