"Team","Rating","TE1","TE2"
"NYG","This is a 5 star matchup. NYG has an easy schedule in which TEs perform better than their average.","Theo Johnson","Daniel Bellinger"
"DEN","This is a 4 star matchup. DEN has an easy schedule in which TEs perform better than their average.","Lucas Krull","Greg Dulcich"
"TB","This is a 4 star matchup. TB has an easy schedule in which TEs perform better than their average.","Cade Otton",""
"KC","This is a 4 star matchup. KC has an easy schedule in which TEs perform better than their average.","Travis Kelce","Noah Gray"
"PHI","This is a 4 star matchup. PHI has an easy schedule in which TEs perform better than their average.","Dallas Goedert","Grant Calcaterra"
"NO","This is a 4 star matchup. NO has a neutral schedule in which TEs perform close to their average.","Taysom Hill","Juwan Johnson"
"MIN","This is a 4 star matchup. MIN has a neutral schedule in which TEs perform close to their average.","T.J. Hockenson","Johnny Mundt"
"DET","This is a 4 star matchup. DET has a neutral schedule in which TEs perform close to their average.","Sam LaPorta","Brock Wright"
"CLE","This is a 4 star matchup. CLE has a neutral schedule in which TEs perform close to their average.","David Njoku","Jordan Akins"
"BUF","This is a 3 star matchup. BUF has a neutral schedule in which TEs perform close to their average.","Dalton Kincaid","Dawson Knox"
"NYJ","This is a 3 star matchup. NYJ has a neutral schedule in which TEs perform close to their average.","Tyler Conklin","Jeremy Ruckert"
"MIA","This is a 3 star matchup. MIA has a neutral schedule in which TEs perform close to their average.","Jonnu Smith",""
"ARI","This is a 3 star matchup. ARI has a neutral schedule in which TEs perform close to their average.","Trey McBride","Elijah Higgins"
"DAL","This is a 3 star matchup. DAL has a neutral schedule in which TEs perform close to their average.","Jake Ferguson","Luke Schoonmaker"
"LV","This is a 3 star matchup. LV has a neutral schedule in which TEs perform close to their average.","Brock Bowers","Michael Mayer"
"WAS","This is a 3 star matchup. WAS has a neutral schedule in which TEs perform close to their average.","Zach Ertz","Ben Sinnott"
"CAR","This is a 3 star matchup. CAR has a neutral schedule in which TEs perform close to their average.","Ja'Tavion Sanders",""
"BAL","This is a 3 star matchup. BAL has a neutral schedule in which TEs perform close to their average.","Mark Andrews","Isaiah Likely"
"SEA","This is a 3 star matchup. SEA has a neutral schedule in which TEs perform close to their average.","Noah Fant","AJ Barner"
"ATL","This is a 3 star matchup. ATL has a neutral schedule in which TEs perform close to their average.","Kyle Pitts",""
"SF","This is a 3 star matchup. SF has a neutral schedule in which TEs perform close to their average.","George Kittle",""
"TEN","This is a 3 star matchup. TEN has a neutral schedule in which TEs perform close to their average.","Chig Okonkwo",""
"LAR","This is a 3 star matchup. LAR has a neutral schedule in which TEs perform close to their average.","Colby Parkinson","Tyler Higbee"
"HOU","This is a 3 star matchup. HOU has a neutral schedule in which TEs perform close to their average.","Dalton Schultz","Cade Stover"
"GB","This is a 3 star matchup. GB has a neutral schedule in which TEs perform close to their average.","Tucker Kraft","Luke Musgrave"
"LAC","This is a 3 star matchup. LAC has a neutral schedule in which TEs perform close to their average.","Hayden Hurst","Will Dissly"
"PIT","This is a 2 star matchup. PIT has a neutral schedule in which TEs perform close to their average.","Pat Freiermuth","Darnell Washington"
"CIN","This is a 2 star matchup. CIN has a neutral schedule in which TEs perform close to their average.","Erick All Jr.","Mike Gesicki"
"NE","This is a 2 star matchup. NE has a tough schedule in which TEs perform worse than their average.","Hunter Henry","Austin Hooper"
"CHI","This is a 2 star matchup. CHI has a tough schedule in which TEs perform worse than their average.","Cole Kmet","Gerald Everett"
"JAC","This is a 2 star matchup. JAC has a tough schedule in which TEs perform worse than their average.","Evan Engram","Brenton Strange"
"IND","This is a 1 star matchup. IND has a tough schedule in which TEs perform worse than their average.","Kylen Granson","Mo Alie-Cox"
""
""